City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Primalkinskoye,RU,43.75,44.01,55.4,76,90,4.47,overcast clouds
Troitsko-Pechorsk,RU,62.71,56.2,31.77,97,99,6.98,overcast clouds
Altukhovo,RU,52.67,34.36,44.6,81,90,11.18,light rain
Kavieng,PG,-2.57,150.8,85.28,71,15,9.04,few clouds
Leningradskiy,RU,69.38,178.42,15.04,87,24,6.58,few clouds
College,US,64.86,-147.8,10.0,91,90,1.3,light snow
Udachny,RU,66.42,112.4,-0.4,84,0,4.47,clear sky
Zhirnovsk,RU,50.98,44.77,46.76,61,100,9.98,overcast clouds
Forsytheganj,BY,52.63,29.73,45.18,84,100,12.41,overcast clouds
Riverton,US,40.52,-111.94,48.99,51,1,1.54,clear sky
São Filipe,CV,14.9,-24.5,79.38,68,75,7.38,broken clouds
Port Lincoln,AU,-34.73,135.87,62.98,69,3,13.89,clear sky
Terra Santa,BR,-2.1,-56.49,82.0,47,29,2.71,scattered clouds
Hasaki,JP,35.73,140.83,64.0,59,75,6.93,broken clouds
Charlottesville,US,38.03,-78.48,48.2,70,20,5.82,few clouds
Alekseyevka,RU,50.63,38.69,53.62,86,99,11.83,overcast clouds
Lorengau,PG,-2.02,147.27,84.34,77,28,8.28,light rain
Mahébourg,MU,-20.41,57.7,68.0,72,40,9.17,shower rain
Amboasary,MG,-25.03,46.38,69.8,83,20,18.34,few clouds
Bereda,ES,43.27,-7.54,63.0,86,100,14.0,overcast clouds
Naze,JP,28.37,129.48,77.0,73,75,10.29,broken clouds
Yerbogachën,RU,61.28,108.01,5.05,88,0,4.14,clear sky
Verāval,IN,20.9,70.37,80.4,43,0,11.45,clear sky
Münsingen,DE,48.41,9.5,57.0,67,88,1.01,overcast clouds
Caravelas,BR,-17.71,-39.25,72.09,94,100,6.31,light rain
Hadejia,NG,12.45,10.04,75.29,24,77,8.95,broken clouds
Arrondissement d'Ajaccio,FR,42.0,8.92,55.4,87,90,5.82,overcast clouds
Kaitangata,NZ,-46.28,169.85,60.01,59,94,21.0,overcast clouds
Vieques,PR,18.43,-65.83,80.6,74,40,10.29,scattered clouds
Marsala,IT,37.8,12.44,64.99,81,0,2.24,clear sky
Salalah,OM,17.02,54.09,69.8,37,0,2.24,clear sky
Cabo San Lucas,MX,22.89,-109.91,78.8,74,20,2.8,few clouds
Kantemirovka,RU,49.71,39.86,50.2,86,82,12.66,broken clouds
Koutiala,ML,12.39,-5.46,75.78,26,79,3.29,broken clouds
Elmira,US,42.09,-76.81,35.6,69,1,5.82,clear sky
Bāglung,NP,28.27,83.59,75.67,28,46,1.23,scattered clouds
Tessalit,ML,20.2,1.01,73.53,21,33,10.36,scattered clouds
Viking,CA,53.1,-111.77,33.8,64,89,5.82,overcast clouds
Yugo-Kamskiy,RU,57.71,55.59,32.0,93,90,6.71,overcast clouds
São Félix do Xingu,BR,-6.64,-51.99,72.82,94,99,1.41,light rain
Nome,US,64.5,-165.41,26.6,68,1,9.17,clear sky
Lüderitz,NA,-26.65,15.16,61.48,55,0,15.93,clear sky
Maków Mazowiecki,PL,52.86,21.1,39.0,74,0,4.97,clear sky
Ubari,LY,26.59,12.78,56.7,60,0,6.78,clear sky
Beringovskiy,RU,63.05,179.32,21.31,95,99,12.84,overcast clouds
Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,64.99,48,0,1.99,clear sky
Longyearbyen,SJ,78.22,15.64,21.2,67,20,12.75,few clouds
Yangi Marg`ilon,UZ,40.43,71.72,37.4,44,96,6.93,overcast clouds
Port Macquarie,AU,-31.43,152.92,77.0,42,25,11.32,scattered clouds
Nouadhibou,MR,20.93,-17.03,68.0,72,0,11.41,clear sky
Karatuzskoye,RU,53.61,92.87,31.5,96,97,3.8,overcast clouds
Ritchie,ZA,-29.04,24.6,57.2,87,76,12.75,moderate rain
Sambava,MG,-14.27,50.17,68.14,75,0,7.99,clear sky
Deep River,CA,46.1,-77.5,35.6,59,90,8.05,overcast clouds
Adeje,ES,28.12,-16.73,77.0,23,0,13.87,clear sky
Puerto Escondido,MX,15.85,-97.07,79.02,73,4,4.65,clear sky
Lunenburg,CA,44.38,-64.32,33.8,69,0,4.7,clear sky
Nizip,TR,37.01,37.79,57.2,41,0,8.55,clear sky
Fort Smith,US,35.39,-94.4,50.0,87,1,1.21,clear sky
Santa Cruz de Barahona,DO,18.21,-71.1,79.12,77,100,5.93,overcast clouds
Batavia,US,41.85,-88.31,54.0,58,90,17.22,overcast clouds
Kawalu,ID,-7.38,108.21,85.86,59,1,4.03,clear sky
Ust-Nera,RU,64.57,143.2,-3.62,82,30,4.34,scattered clouds
Pitimbu,BR,-7.47,-34.81,78.8,83,20,5.82,few clouds
St. George's,GD,12.06,-61.75,80.6,88,20,13.87,few clouds
Jalu,LY,29.03,21.55,62.37,70,10,7.38,clear sky
Teya,RU,60.38,92.63,21.06,94,100,7.76,light snow
Kalevala,RU,65.2,31.17,33.49,93,99,6.89,light snow
Mandalgovi,MN,45.76,106.27,27.41,74,27,17.94,scattered clouds
Yala,TH,6.33,101.25,86.0,74,20,3.36,few clouds
Shimoda,JP,34.67,138.95,62.6,67,75,12.75,broken clouds
Lumsden,CA,50.65,-104.87,19.4,79,40,8.05,scattered clouds
Corn Island,NI,12.17,-83.04,81.75,78,100,14.76,overcast clouds
Kyzyl-Suu,KG,42.34,78.01,38.61,56,8,6.71,clear sky
San Jose,US,37.34,-121.89,68.0,52,0,1.5,clear sky
Celestún,MX,20.87,-90.4,77.07,87,99,12.24,overcast clouds
Kahului,US,20.89,-156.47,86.0,58,40,12.75,scattered clouds
Vila Velha,BR,-20.33,-40.29,69.8,94,90,8.05,overcast clouds
Trofors,NO,65.53,13.41,50.0,53,99,14.99,overcast clouds
Hantsport,CA,45.07,-64.17,32.0,88,0,4.7,clear sky
General Pico,AR,-35.66,-63.76,55.63,66,16,10.04,few clouds
Novobiryusinskiy,RU,56.96,97.71,18.21,84,1,5.5,clear sky
Boa Vista,BR,2.82,-60.67,82.4,74,40,4.29,moderate rain
Aksarka,RU,66.56,67.8,29.21,95,29,10.98,scattered clouds
Shenjiamen,CN,29.96,122.3,69.53,76,38,4.25,scattered clouds
Formosa,AR,-26.18,-58.18,64.4,68,0,8.05,clear sky
Igurusi,TZ,-8.85,33.85,60.42,72,4,0.94,clear sky
Fare,PF,-16.7,-151.02,80.06,76,6,19.08,clear sky
Samarai,PG,-10.62,150.67,83.19,76,91,10.4,overcast clouds
Antalaha,MG,-14.9,50.28,68.05,76,52,6.22,broken clouds
Flinders,AU,-34.58,150.86,63.0,89,100,8.99,overcast clouds
Qui Nhon,VN,13.77,109.23,79.11,84,85,14.63,light rain
Sioux Lookout,CA,50.1,-91.92,24.8,92,90,14.99,overcast clouds
Deputatsky,RU,69.3,139.9,-9.26,91,89,5.35,overcast clouds
Talcahuano,CL,-36.72,-73.12,53.6,93,90,6.93,overcast clouds
Camacha,PT,33.08,-16.33,66.2,88,20,5.82,few clouds
Birao,CF,10.28,22.79,73.6,57,0,1.61,clear sky
Puerto Carreño,CO,6.19,-67.49,77.9,92,91,2.68,moderate rain
Shiloh,US,38.56,-89.9,53.01,71,1,3.36,clear sky
Inuvik,CA,68.35,-133.72,-2.2,91,13,2.24,few clouds
Nikolskoye,RU,59.7,30.79,32.0,100,90,4.47,fog
Cervo,ES,43.67,-7.41,62.01,88,100,14.0,overcast clouds
Mossamedes,AO,-15.2,12.15,75.02,74,99,14.58,light rain
Palmer,US,42.16,-72.33,30.99,92,75,3.18,broken clouds
Asău,RO,46.43,26.4,46.4,81,60,20.8,light intensity drizzle
Kolpashevo,RU,58.31,82.91,34.02,91,100,11.9,overcast clouds
Cabreúva,BR,-23.31,-47.13,64.99,72,40,18.34,scattered clouds
Buta,CD,2.79,24.73,70.18,97,99,1.43,overcast clouds
Fortuna,US,40.6,-124.16,48.99,90,0,3.24,clear sky
Luba,GQ,3.46,8.55,75.2,100,20,4.7,few clouds
Zyryanka,RU,65.75,150.85,4.71,93,98,4.5,overcast clouds
Matamoros,MX,25.53,-103.25,75.2,29,5,1.19,clear sky
Hamilton,US,39.18,-84.53,51.01,61,90,8.05,overcast clouds
Los Llanos de Aridane,ES,28.66,-17.92,75.2,47,0,11.41,clear sky
Muncar,ID,-8.43,114.33,86.79,56,31,4.81,scattered clouds
Norman Wells,CA,65.28,-126.83,-9.4,83,20,4.7,few clouds
Vallenar,CL,-28.57,-70.76,56.75,54,0,1.3,clear sky
Vardø,NO,70.37,31.11,38.25,83,75,18.1,broken clouds
Teguise,ES,29.06,-13.56,73.4,53,0,11.41,clear sky
Belaya Gora,RU,68.53,146.42,-5.22,90,86,4.32,overcast clouds
Marsaxlokk,MT,35.84,14.54,64.0,93,20,6.93,few clouds
Alofi,NU,-19.06,-169.92,78.8,83,49,20.8,light rain
Esperance,AU,-33.87,121.9,78.8,50,89,8.05,overcast clouds
Eenhana,NA,-17.47,16.33,75.2,64,80,9.17,broken clouds
Sola,VU,-13.88,167.55,81.5,80,86,17.9,overcast clouds
Iskateley,RU,67.68,53.15,32.9,93,97,13.04,overcast clouds
Tasiilaq,GL,65.61,-37.64,32.0,97,100,3.36,overcast clouds
Bathsheba,BB,13.22,-59.52,80.6,88,40,12.75,shower rain
Carnarvon,AU,-24.87,113.63,77.0,53,84,18.34,broken clouds
Sirūr,IN,18.83,74.38,76.66,55,0,3.98,clear sky
Tuktoyaktuk,CA,69.45,-133.04,-4.0,76,40,4.7,scattered clouds
Plettenberg Bay,ZA,-34.05,23.37,56.28,81,4,3.27,clear sky
Maniwaki,CA,46.38,-75.97,32.0,96,35,8.05,scattered clouds
Redmond,US,47.67,-122.12,48.0,86,28,3.89,scattered clouds
Kinston,US,35.26,-77.58,52.0,87,1,6.33,clear sky
Lubliniec,PL,50.67,18.68,37.99,100,90,5.82,fog
Huarmey,PE,-10.07,-78.15,61.2,88,81,5.03,broken clouds
Casino,AU,-28.87,153.05,84.2,26,0,5.82,clear sky
Hurricane,US,37.18,-113.29,66.2,17,1,8.03,clear sky
Bodden Town,KY,19.28,-81.25,84.2,79,75,10.29,broken clouds
Silver City,US,32.77,-108.28,57.99,43,1,6.93,clear sky
Russell,US,32.35,-85.2,60.8,82,90,5.41,overcast clouds
Tuatapere,NZ,-46.13,167.68,55.0,79,92,21.99,overcast clouds
Kaoma,ZM,-14.78,24.8,66.88,34,0,9.6,clear sky
Bengkulu,ID,-3.8,102.27,83.35,67,100,2.98,overcast clouds
Christchurch,NZ,-43.53,172.63,62.6,67,0,18.34,clear sky
Pingzhuang,CN,42.04,119.29,45.3,44,0,13.69,clear sky
Coaldale,CA,49.72,-112.62,48.2,31,75,13.87,broken clouds
Dodge City,US,37.75,-100.02,51.8,50,1,10.29,clear sky
Waddān,LY,29.16,16.14,57.51,87,0,5.44,clear sky
Hongjiang,CN,27.11,110.0,59.92,89,100,2.42,overcast clouds
Mutare,ZW,-18.97,32.67,59.81,94,56,4.36,broken clouds
Kutum,SD,14.2,24.67,70.34,35,20,11.32,few clouds
Kirakira,SB,-10.45,161.92,85.93,67,49,6.55,light rain
Toro,CO,4.61,-76.08,67.42,88,100,1.79,light rain
Egvekinot,RU,66.32,-179.17,13.14,83,10,1.52,clear sky
Waipawa,NZ,-41.41,175.52,64.4,55,0,21.92,clear sky
Linqiong,CN,30.42,103.46,64.99,77,96,2.24,overcast clouds
Redlands,US,34.06,-117.18,80.6,18,75,4.7,broken clouds
Fivizzano,IT,44.24,10.13,60.01,94,81,1.01,broken clouds
Belyy Yar,RU,53.6,91.39,28.4,92,97,2.24,overcast clouds
Vila,PT,42.03,-8.16,59.0,95,100,8.99,overcast clouds
Cockburn Town,TC,21.46,-71.14,82.63,78,72,20.85,broken clouds
Padang,ID,-0.95,100.35,78.19,81,100,0.96,overcast clouds
Ponta Delgada,PT,37.73,-25.67,68.0,100,75,14.99,broken clouds
Glenwood Springs,US,39.55,-107.32,41.0,37,1,4.7,clear sky
Paamiut,GL,61.99,-49.67,23.95,95,100,6.76,light snow
Areosa,PT,41.72,-8.86,64.0,93,90,10.29,overcast clouds
Maragogi,BR,-9.01,-35.22,76.42,87,100,8.39,overcast clouds
Isla Mujeres,MX,21.23,-86.73,80.6,83,75,6.93,broken clouds
Asilah,MA,35.47,-6.03,60.8,82,0,2.24,clear sky
Dudinka,RU,69.41,86.18,21.2,85,75,29.08,light snow
Mingyue,CN,43.11,128.92,50.22,46,3,12.88,clear sky
Bilma,NE,18.69,12.92,67.37,39,0,14.36,clear sky
Beatrice,US,40.27,-96.75,55.0,50,1,10.29,clear sky
Ossora,RU,59.24,163.07,36.81,82,100,5.21,overcast clouds
Suez,EG,29.97,32.53,66.97,82,17,8.28,few clouds
